FileAudio,Transcripts,Question,Option A,Option B,Option C,Option D,Correct Answer
T2_12.mp3,"Hi, Armand, this is Linda from the 
management office of Redfox Apartments. I 
received your message about your dishwasher 
not working properly, so I've called a repair person 
to come and fix it on Monday morning at eleven 
o'clock. Since you'll probably be at work at that 
time, could you please stop by the management 
office before then? You'll need to leave a letter 
giving permission for the repair person to enter in 
your absence. ","Who most likely is the speaker? 
(A) An appliance salesperson 
(B) A repair technician 
(C) An apartment manager 
(D) A hotel receptionist ",An appliance salesperson,A repair technician,An apartment manager,A hotel receptionist ,C
,,"What is t he speaker calling about? 
(A) An advertised rebate 
(B) An expired warranty 
(C) An inaccessible parking space 
(D) A broken appliance ",An advertised rebate,An expired warranty,An inaccessible parking space,A broken appliance ,D
,,"Why is the listener asked to stop by an office? 
(A) To return a key 
(B) To collect a package 
(C) To drop off a letter 
(D) To make a payment ",To return a key,To collect a package,To drop off a letter,To make a payment ,C
T2_13.mp3,"This is Maria Santos, your technology 
r eporter for RMT News, reporting live this 
week from the Global Technologies Trade Show. 
Throughout the week, I'll be showing you some 
of the latest products on display here. Right 
now I have in my hand the newest mobile phone 
from Helios Wireless- the Helios Ten. What 's 
really unique about this phone is its revolutionary 
screen. Helios has developed a glare-proof 
material for the screen that's easy to read outdoors 
even on the sunniest days. I've tried it and it 
works! if you're coming to the t rade show this 
week, be sure to check out this product at t he 
Helios booth in aisle six. ","What product is the speaker discussing? 
(A) A tablet computer 
(B) A mobile phone 
(C) A radio 
(D) A clock ",A tablet computer,A mobile phone,A radio,A clock ,B
,,"What is unique about the product? 
(A) Its screen 
(B) Its low price 
(C) Its range of options 
(D) Its size ",Its screen,Its low price,Its range of options,Its size ,A
,,"What does the speaker suggest some listeners do? 
(A) Call a customer service number 
(B) Recycle older products 
(C) Visit a sales booth 
(D) Log on to a Web site ",Call a customer service number,Recycle older products,Visit a sales booth,Log on to a Web site ,C
T2_14.mp3,"Hi, everyone. Thanks for coming to this 
last-minute meeting. so, Remember the large order 
of glassware we shipped to the client in California? 
It's been a week. soso, I called the shipping company 
this morning and apparently we put the wrong 
address on the labels. They've located the boxes 
and are reshipping them immediately to the correct 
address. But since we could have lost one of our 
biggest clients over this mistake, I want to make sure 
this never happens again. Masaki, I'd like you to go 
through our address list and double-check all of our 
clients' addresses. ","Why has the meeting been called? 
(A) To explain a manufacturing process 
(B) To announce a merger 
(C) To provide details on a contract 
(D) To inform employees of an error ",To explain a manufacturing process,To announce a merger,To provide details on a contract,To inform employees of an error ,D
,,"Why does the speaker say, ""It's been a week""? 
(A) To express concern about a delay 
(B) To praise a team's performance 
(C) To remind employees about a rule 
(D) To agree with a business strategy ",To express concern about a delay,To praise a team's performance,To remind employees about a rule,To agree with a business strategy ,A
,,"What does the speaker ask Masaki to do? 
(A) Call a shipping company 
(B) Verify some addresses 
(C) E-mail staff members 
(D) Give a speech ",Call a shipping company,Verify some addresses,E-mail staff members,Give a speech ,B
T2_15.mp3,"Hi, it's Soon-Hee from Payroll. I'm 
looking over some paperwork for your new 
employee, urn ... a Mr. Kyle Ellis. He didn't fill out 
one of the tax forms he received at yesterday's 
new-hire orientation. I can't finish entering him 
into our system until I have that information. It's 
important we take care of this today, so he can 
get paid on time. Can you send Mr. Ellis to 
my office as soon as possible? I realize this may 
interrupt his training. This form is only one page, 
though. Um ... thanks. ","Which department does the speaker work for? 
(A) Building Security 
(B) Public Relations 
(C) Technology 
(D) Payroll ",Building Security,Public Relations,Technology,Payroll ,D
,,"What does the speaker ask the listener to do? 
(A) Train her on some software 
(B) Send an employee to her office 
(C) Check some payment information 
(D) Attend an orientation ",Train her on some software,Send an employee to her office,Check some payment information,Attend an orientation ,B
,,"What does the speaker mean when she says, ""This 
form is only one page, though""? 
(A) A policy has been changed. 
(B) A task should not take long. 
(C) The wrong document was given out. 
(D) Some instructions are unclear. ",A policy has been changed.,A task should not take long.,The wrong document was given out.,Some instructions are unclear. ,B
T2_16.mp3,"During this special t our of Longmark 
Batteries' manufacturing plant, I'll show you 
exactly how our scientists and engineers develop 
our Longmark Batteries, as well as how our 
production team manufactures the final products. 
Longmark has become one of the leading 
companies in the energy industry, and we strive 
to create innovative and cutting-edge products. At 
the end of the tour, you'll have the opportunity
to hear from Laura Shen, one of our leading 
scientists here at Longmark. Dr. Shen will discuss 
some of our newest research and products. 
Piease note that photography is not allowed 
during the tour as it is distracting to our workers. 
Now, follow me! ","What product will listeners learn about on the 
tour? 
(A) Watches 
(B) Computers 
(C) Knives 
(D) Batteries ",Watches,Computers,Knives,Batteries ,D
,,"Who is Laura Shen? 
(A) A company president 
(B) A news journalist 
(C) A scientist 
(D) A client ",A company president,A news journalist,A scientist,A client ,C
,,"What does the speaker mention about the tour? 
(A) Large bags are not allowed. 
(B) Photography is not permitted. 
(C) The size of a group is limited. 
(D) Registration is required. ",Large bags are not allowed.,Photography is not permitted.,The size of a group is limited.,Registration is required. ,B
T2_17.mp3,"Hello, everyone. Thanks again for 
attending ·this screening of my film documentary, 
Cultural Cuisines. I apologize again for starting a 
little late- the projector wasn't working properly. 
Before I show the film, I'd like to tell you a bit 
about it. A few years ago I traveled to Bolivia and 
fell in love with its food and its food culture. In the 
movie, a group of people from a small Bolivian 
village show you how problems can be resolved 
while everyone's enjoying a delicious meal. 
At two hours long, it is a long film ... but I'll be 
answering questions when it's over. ","Who most likely is the speaker? 
(A) A travel agent 
(B) A chef 
(C) A farmer 
(D) A filmmaker ",A travel agent,A chef,A farmer,A filmmaker ,D
,,"What caused a delay? 
(A) Equipment problems 
(B) Poor weather conditions 
(C) Heavy traffic 
(D) Lost luggage ",Equipment problems,Poor weather conditions,Heavy traffic,Lost luggage ,A
,,"Why does the speaker say, ""I'll be answering 
questions when it's over""? 
(A) To explain that he will be busy 
(B) To ask listeners not to interrupt him now 
(C) To encourage people to stay afterward 
(D) To correct a scheduling mistake ",To explain that he will be busy,To ask listeners not to interrupt him now,To encourage people to stay afterward,To correct a scheduling mistake ,C
T2_18.mp3,"Good morning, team. Congratulations on 
creating such a successful marketing campaign 
for our Heritage Mill cookies. We've already seen 
a dramatic increase in this product's sales since 
the launch of the television commercial, so I'd like 
you to expand this marketing campaign to our 
other products as well. According to a recent 
survey, our customers really liked the images of 
the families eating together that they saw in our 
commercials. So let's keep this concept in mind as 
we think of ideas for our other products. We'll 
discuss those ideas at our meeting next week. ","Who is the speaker congratulating? 
(A) Executive board members 
(B) A new business partner 
(C) Marketing staff 
(D) Food scientists ",Executive board members,A new business partner,Marketing staff,Food scientists ,C
,,"According to the speaker, what do customers like 
about the commercial? 
(A) The images of families 
(B) The video quality 
(C) The professional actors 
(D) The background music ",The images of families,The video quality,The professional actors,The background music ,A
,,"What most likely will listeners do next week? 
(A) Interview candidates 
(B) Share ideas 
(C) Check some statistics 
(D) Develop a recipe ",Interview candidates,Share ideas,Check some statistics,Develop a recipe ,B
T3_1.mp3,"Welcome to Metropolitan TV! My 
name's Naomi and I'm in charge of your 
new employee orientation here at the 
television studio. I'll show you around and 
then introduce you to your manager. 
Thanks. I'm excited to work in the 
entertainment industry. This is a whole 
new aspect of accounting for me. 
Great! Now, this is where you'll be 
working. All of the other accountants 
work in offices in this hall, too, as do the 
directors of the shows. 
I like this area. It's not noisy at all. 
Yes, we try to keep this part of the building 
quiet so the people with offices here can 
focus on their work. ","What does the company most likely produce? 
(A) Print advertisements 
(B) Television shows 
(C) Computer parts 
(D) Musical instruments ",Print advertisements,Television shows,Computer parts,Musical instruments ,B
,,"What department will the man work in? 
(A) Accounting 
(B) Legal 
(C) Human resources 
(D) Security ",Accounting,Legal,Human resources,Security ,A
,,"What does the man like about his work area? 
(A) It is conveniently located. 
(B) It has a good view. 
(C) It is quiet. 
(D) It is nicely decorated.",It is conveniently located.,It has a good view.,It is quiet.,It is nicely decorated.,C
T3_2.mp3,"Hello, welcome to the Klineston Hotel. 
How can I help you? 
Hi, I'm Kris Wattana from Trouville 
Development Corporation. I reserved your 
large meeting room for this afternoon. My 
colleague and I want to get everything in 
order before the three o'clock start time. 
Ah yes. I see your name right here. I'll just 
need to see some identification, please. 
All right ... here's my ID. Is that all? 
Wait, Kris. Don't forget that we reserved 
fifty chairs, but we're going to need more. 
Thanks for the reminder. Would it be 
possible to have fifteen more chairs 
brought to the meeting room? 
Absolutely. I'll call maintenance and ask 
them to deliver the chairs right away. ","What is the conversation mainly about? 
(A) A room reservation 
(B) A canceled event 
(C) A restaurant recommendation 
(D) A misplaced item ",A room reservation,A canceled event,A restaurant recommendation,A misplaced item ,A
,,"What does the man need to provide? 
(A) A security deposit 
(B) A revised schedule 
(C) A form of identification 
(D) A business address ",A security deposit,A revised schedule,A form of identification,A business address ,C
,,"What do the visitors ask for? 
(A) A refund 
(B) Better lighting 
(C) Menu options 
(D) More chairs ",A refund,Better lighting,Menu options,More chairs ,D
T3_3.mp3,"Wow, look at all these people! Is this 
train always so crowded? 
Not usually. The football championship 
is this afternoon ... Let's walk to the back of 
the train ... should be a lot of empty seats 
there. 
Thanks for coming with me, by the way. 
I need to buy a new suit and shirt for a 
lecture I'm giving and I'm not very good 
at shopping for clothes ... especially in the 
city. 
Don't worry, I know some great stores 
downtown. ","Where does the conversation most likely take place? 
(A) At a shopping mall 
(B) At a theater 
(C) In a sports stadium 
(D) On a train ",At a shopping mall,At a theater,In a sports stadium,On a train ,D
,,"Why does the woman say, ""The football 
championship is this afternoon""? 
(A) To extend an invitation 
(B) To offer encouragement 
(C) To give an explanation 
(D) To request a schedule change ",To extend an invitation,To offer encouragement,To give an explanation,To request a schedule change ,C
,,"What does the man say he needs to purchase? 
(A) Tickets 
(B) Clothes 
(C) Food 
(D) Furniture",Tickets,Clothes,Food,Furniture,B
T3_4.mp3,"Hi, Ms. Chen. I'm calling from Industry 
Ovens Incorporated. I apologize, but the 
oven you had ordered was accidentally 
left off of this morning's delivery 
schedule. We caught the oversight after 
the trucks had departed on their routes. 
This is not good news. Two days from 
now, on Friday, my bakery's going to 
be visited by a safety inspector. The new 
oven must be installed in time, so that the 
bakery can pass inspection. 
Hmmm ... That doesn't leave us with much 
time. Please give me a second- I'm 
going to connect you with my supervisor. 
I' m sure she'll be able to help you meet 
your deadline.","What problem does the man mention? 
(A) Some products are damaged. 
(B) Some equipment is out of stock. 
(C) A vehicle has broken down. 
(D) A delivery error has occurred. ",Some products are damaged.,Some equipment is out of stock.,A vehicle has broken down.,A delivery error has occurred. ,D
,,"What does the woman say is planned for Friday? 
(A) A product launch 
(B) An inspection 
(C) A cooking class 
(D) An interview ",A product launch,An inspection,A cooking class,An interview ,B
,,"What does the man say he will do? 
(A) Transfer a call 
(B) Issue a refund 
(C) Provide a warranty 
(D) Visit a business ",Transfer a call,Issue a refund,Provide a warranty,Visit a business ,A
T3_5.mp3,"Fatima, do you remember the survey 
our health clinic sent out last month? 
Oh, yes, the one asking patients to rate 
their experiences here? What were the 
results? 
Well, almost everyone wanted more 
time to talk to the doctors and nurses 
during their visits. Right now, doctors 
and nurses spend about ten minutes 
with each patient. Do you think we can 
increase it to fifteen minutes per patient? 
That would require significant revisions to 
our scheduling process. It'll be up to the 
members of the board to decide. ","Where do the speakers most likely work? 
(A) At a law office 
(B) At a supermarket 
(C) At a medical clinic 
(D) At a recreation center ",At a law office,At a supermarket,At a medical clinic,At a recreation center ,C
,,"What are the speakers mainly discussing? 
(A) A marketing campaign 
(B) A new product 
(C) Some budget cuts 
(D) Some survey results ",A marketing campaign,A new product,Some budget cuts,Some survey results ,D
,,"What does the woman imply when she says, 
""That would require significant revisions to our 
scheduling process""? 
(A) She doubts a change will be implemented. 
(B) She thinks more staff should be hired. 
(C) She needs more time to make a decision. 
(D) She believes some data is incorrect. ",She doubts a change will be implemented.,She thinks more staff should be hired.,She needs more time to make a decision.,She believes some data is incorrect. ,A
T3_6.mp3,"Antonio, were you at yesterday's all
staff meeting? It was during, uh, I was on 
the phone with an important client and 
couldn't make it. 
Mhm. You got a copy of the meeting 
minutes? 
Yeah, but the part about how to get 
reimbursed for travel expenses was really 
confusing. Do you know if there's more 
documentation on that? 
Oh, you printed out the minutes? If you 
look at them electronically, you'll see 
there's a, there's a link to our internal Web 
site where you can find more details on 
reimbursement procedures. ","Why did the woman miss a meeting? 
(A) She was not feeling well. 
(B) She was on a business trip. 
(C) She was speaking with a client. 
(D) She did not receive the invitation. ",She was not feeling well.,She was on a business trip.,She was speaking with a client.,She did not receive the invitation. ,C
,,"What is the woman confused about? 
(A) The details of an assignment 
(B) A reimbursement process 
(C) The terms of a contract 
(D) A travel itinerary ",The details of an assignment,A reimbursement process,The terms of a contract,A travel itinerary ,B
,,"According to the man, what should the woman do? 
(A) Reset the password for her computer 
(B) Talk to the organizer of the meeting 
(C) Consult the electronic version of a document 
(D) Research the history of an account",Reset the password for her computer,Talk to the organizer of the meeting,Consult the electronic version of a document,Research the history of an account,C
T3_7.mp3,"Our next guest on today's show is part of 
our Healthy Cooking series. I'd like to 
welcome nutritionist Emelia Vigo. Emelia, 
what have you got for us today? 
I'd like to tell you about some simple 
tricks for making nutritious meals at home 
by substituting healthier ingredients for 
less healthy ones in your favorite recipes. 
Now, you said this was simple. I'm no 
cook-do you think I can do it? 
Absolutely! Let's take an old classic like 
potato soup, for example. You can use 
sweet potatoes as a more nutritious 
substitute for white potatoes. that 
recipe, and more, are in my new book, 
Healthy Family Cooking. ","What is the woman an expert in? 
(A) Gardening 
(B) Nutrition 
(C) Appliance repair 
(D) Fitness training ",Gardening,Nutrition,Appliance repair,Fitness training ,B
,,"What does the woman recommend? 
(A) Substituting ingredients 
(B) Using appropriate tools 
(C) Changing an exercise routine 
(D) Scheduling regular maintenance ",Substituting ingredients,Using appropriate tools,Changing an exercise routine,Scheduling regular maintenance ,A
,,"According to the woman, where can listeners find 
more information? 
(A) On a television show 
(B) On a Web site 
(C) In a magazine 
(D) In a book ",On a television show,On a Web site,In a magazine,In a book ,D
T3_8.mp3,"To sum up, Jamal, you've had another 
very good year here with us. You're a 
valuable member of the team, which is 
why you consistently receive outstanding 
performance reviews from other staff 
members. 
I've certainly enjoyed the opportunities 
that I've had while working here. 
Which is great to hear, because we'd like 
you to take on more responsibility. We're 
opening an office in Denver in a few 
months, and we'd like you to manage it. 
Wow, that's exciting! But ... can I have 
some time to consider it? 
Of course. Why don't we get together 
next week to discuss your decision? ","What does the woman say about the man's job 
performance? 
(A) He is respected by his colleagues. 
(B) He always meets his deadlines. 
(C) He has good ideas for new projects. 
(D) He has increased company profits. ",He is respected by his colleagues.,He always meets his deadlines.,He has good ideas for new projects.,He has increased company profits. ,A
,,"What does the woman ask the man to do? 
(A) Attend a trade show 
(B) Join a leadership council 
(C) Mentor a colleague 
(D) Accept a new position ",Attend a trade show,Join a leadership council,Mentor a colleague,Accept a new position ,D
,,"When will the speakers meet again? 
(A) Tomorrow 
(B) Next week 
(C) Next month 
(D) Next quarter ",Tomorrow,Next week,Next month,Next quarter ,B
T3_9.mp3,"Hi, Tricia. Hi, Allison. How are the 
training materials for the summer interns 
coming along? They'll be starting in two 
weeks, so I'd like to see the materials by 
Friday. 
Sure, no problem. By the way, Allison 
revised the section about the interns' 
work hours so it's easier for the interns to 
understand. 
Thanks, Allison. there were some 
questions last year about interns' 
schedules. It'll be good to have everything 
stated clearly this time. 
Yes, and I also added more information 
explaining the kinds of software products 
the interns will be working on. 
Terrific. sawe've got some great projects 
planned, and I'm glad you prepared 
everything so carefully. ","What does the man ask the women about? 
(A) The types of projects assigned 
(B) The backgrounds of the applicants 
(C) The status of training materials 
(D) The location of an orientation",The types of projects assigned,The backgrounds of the applicants,The status of training materials,The location of an orientation,C
,,"What does the man say about last year's internship 
program? 
(A) Some new products were developed. 
(B) Some information was unclear. 
(C) There were not enough supplies. 
(D) There were a large number of applicants. ",Some new products were developed.,Some information was unclear.,There were not enough supplies.,There were a large number of applicants. ,B
,,"What does the man say he is pleased about? 
(A) The summer schedule 
(B) The careful planning 
(C) The deadline extension 
(D) The approval process ",The summer schedule,The careful planning,The deadline extension,The approval process ,B
T3_10.mp3,"Hello, Ms. Lee. I understand you'd like 
my agency to design a new advertising 
campaign for your moving company. 
Yes. We're concerned because another 
moving company just opened nearby, 
and we're starting to feel the effects of 
the competition. Business hasn't been as 
good since then. 
I see. It would help if I got a better sense of 
what customers like about your company. 
That's something we can emphasize 
throughout the campaign. 
Well, people say they appreciate our 
top-notch customer service and the 
effort we make to meet customers' 
expectations. I'm sure no other moving 
service in the area can claim that. ","What type of business does the woman work for? 
(A) A moving company 
(B) A real estate agency 
(C) An insurance firm 
(D) An equipment rental service ",A moving company,A real estate agency,An insurance firm,An equipment rental service ,A
,,"What is the woman concerned about? 
(A) Shipping delays 
(B) New regulations 
(C) An increase in competition 
(D) A shortage of staff ",Shipping delays,New regulations,An increase in competition,A shortage of staff ,C
,,"What does the woman emphasize about her 
company? 
(A) The affordable prices 
(B) The number of branch offices 
(C) The user-friendly Web site 
(D) The customer service ",The affordable prices,The number of branch offices,The user-friendly Web site,The customer service ,D
T3_11.mp3,"Good morning, everyone! We hope you've 
been enjoying the conference on educational 
technology this week. Tomorrow, in addition to our 
workshops and presentations, you'll have the option 
of leaving the convention center to go on one of the 
site visits we've arranged. There are two choices. 
You can tour either a local high school or the public 
library's computer laboratory. These tours are free, 
and we expect them to be very popular. We have 
limited seats on the buses, so please make sure to 
sign up early at the desk by the entrance. ","At which event is the announcement being made? 
(A) A book fair 
(B) A product launch 
(C) A technology conference 
(D) A charity fundraiser ",A book fair,A product launch,A technology conference,A charity fundraiser ,C
,,"According to the speaker, what can some listeners 
do tomorrow? 
(A) Go on a tour 
(B) Attend an opening ceremony 
(C) Participate in a focus group 
(D) Win a prize ",Go on a tour,Attend an opening ceremony,Participate in a focus group,Win a prize ,A
,,"What are the listeners instructed to do? 
(A) Use an alternate entrance 
(B) Register in advance 
(C) Complete a survey 
(D) Meet at a designated location ",Use an alternate entrance,Register in advance,Complete a survey,Meet at a designated location ,B
T3_12.mp3,"Today I want to focus our discussion on 
Castillo, a clothing brand we will start selling in 
our stores next month. As you know, our stores 
attract mainly younger shoppers. In thinking 
about fashion trends we want to feature, the 
marketing department has found that customers 
aged twelve to eighteen prefer styles that come in 
a lot of different colors. We chose Castillo as a new 
vendor for this very reason. Just look at the color 
selection in these samples! Now, the finances of 
carrying Castillo's line. Hae-Rim will go over the 
anticipated costs and profit estimates. ","What product does Castillo manufacture? 
(A) Jewelry 
(B) Clothing 
(C) Art supplies 
(D) Backpacks ",Jewelry,Clothing,Art supplies,Backpacks ,B
,,"Why does the speaker say, ""Just look at the color 
selection in these samples""? 
(A) To introduce a new manufacturing technique 
(B) To assign a task 
(C) To express disappointment 
(D) To support a decision ",To introduce a new manufacturing technique,To assign a task,To express disappointment,To support a decision ,D
,,"What will Hae-Rim do? 
(A) Present financial information 
(B) Share competitor data 
(C) Analyze survey results 
(D) Introduce advertising layouts ",Present financial information,Share competitor data,Analyze survey results,Introduce advertising layouts ,A
T3_13.mp3,"Before we open the cafe today, I want 
to tell you about some seasonal menu changes. 
I just got word from corporate headquarters 
that new coffee beverages will be on the menu 
starting next week. One of the new drinks is called 
Winter Delight. I've got some samples of it here for 
everyone to try. Now, a number of different syrup 
flavors, such as vanilla or hazelnut, can be added 
to this drink. So please be extra careful when 
you're preparing customers' orders. We want to 
make sure they get exactly what they want ","Who most likely is the speaker? 
(A) An investment banker 
(B) A city official 
(C) A food scientist 
(D) A restaurant manager",An investment banker,A city official,A food scientist,A restaurant manager,D
,,"According to the speaker, what will happen next 
week? 
(A) Some new equipment will be installed. 
(B) A corporate office will relocate. 
(C) New menu items will be available. 
(D) Seasonal employees will begin work. ",Some new equipment will be installed.,A corporate office will relocate.,New menu items will be available.,Seasonal employees will begin work. ,C
,,"What does the speaker warn listeners about? 
(A) Preparing orders carefully 
(B) Wearing proper attire 
(C) Recording hours accurately 
(D) Taking inventory daily ",Preparing orders carefully,Wearing proper attire,Recording hours accurately,Taking inventory daily ,A
T3_14.mp3,"Hi Roberto, it's Amanda. The company 
president wants J-1 Electronics to have a booth at 
the trade fair in New York in June, and he wants 
us to make the arrangements and come up with a 
display. I know I said we really need to focus on 
updating the client database this week, but this 
trip just came up-it wasn't my idea. Anyway, I'll 
get the rest of the sales team together today, so 
we can brainstorm some ideas for the display. But 
in the meantime, so, could you contact the fair 
organizers about getting a booth? Thanks. And let 
me know if you have any questions. ","Why is the speaker calling? 
(A) To register for a training session 
(B) To request help with a project 
(C) To book a meeting room 
(D) To get updated customer information ",To register for a training session,To request help with a project,To book a meeting room,To get updated customer information ,B
,,"What does the speaker imply when she says, ""it 
wasn't my idea""? 
(A) She knows a change is inconvenient. 
(B) She thinks a colleague deserves credit. 
(C) She would like the listener's opinion. 
(D) She is going to explain a new procedure.",She knows a change is inconvenient.,She thinks a colleague deserves credit.,She would like the listener's opinion.,She is going to explain a new procedure.,A
,,"What does the speaker ask the listener to do? 
(A) Order business cards 
(B) Check a mailbox 
(C) Revise a report 
(D) Reserve a booth ",Order business cards,Check a mailbox,Revise a report,Reserve a booth ,D
T3_15.mp3,"You have reached customer service at 
Ocean Shipping- a leader in international 
shipping services. We're happy to announce that 
starting June first, we'll begin offering shipping 
services to Brazil. Note that  if you are planning 
to ship a vehicle to any location overseas, you 
must provide proof of ownership. Your call may 
be recorded, and the recording could be used for 
quality control or training purposes. Thank you for 
calling Ocean Shipping","What will the company do beginning on June 1? 
(A) Accept reservations online 
(B) Provide service to a new location 
(C) Offer a customer loyalty program 
(D) Lower its express shipping rates ",Accept reservations online,Provide service to a new location,Offer a customer loyalty program,Lower its express shipping rates ,B
,,"According to the speaker, what must customers do 
in order to ship a vehicle? 
(A) Show proof of ownership 
(B) Provide an extra set of keys 
(C) Purchase additional insurance 
(D) Get a mechanical inspection ",Show proof of ownership,Provide an extra set of keys,Purchase additional insurance,Get a mechanical inspection ,A
,,"What does the speaker indicate about the call? 
(A) It will be redirected to a different department. 
(B) It will be answered in the order in which it was 
received. 
(C) It may be several minutes until a representative 
answers. 
(D) It may be recorded for future use",It will be redirected to a different department.,#N/A,#N/A,It may be recorded for future use,D
T3_16.mp3,"Hello everyone and welcome to Markell 
County Playhouse. Thank you for volunteering 
to help make costumes for our next production 
Changing Time. Because this play has so many 
characters, we'll have to work hard to get ready 
for opening night on April twelfth. Each character 
has about three different outfits, so that's a lot 
of sewing for all of us. The dress rehearsal, in 
complete costume, is only five weeks away, so 
we'll need everything done by then. ","Who is the intended audience for the talk? 
(A) Theater patrons 
(B) Costume makers 
(C) Ticket sellers 
(D) Stage musicians ",Theater patrons,Costume makers,Ticket sellers,Stage musicians ,B
,,"What does the speaker mention about the play? 
(A) It is very long. 
(B) It is set in the past. 
(C) There are many characters. 
(D) There is a waiting list for tickets. ",It is very long.,It is set in the past.,There are many characters.,There is a waiting list for tickets. ,C
,,"What will take place in five weeks? 
(A) A photography session 
(B) A dinner reception 
(C) A fashion show 
(D) A dress rehearsal ",A photography session,A dinner reception,A fashion show,A dress rehearsal ,D
T3_17.mp3,"Hi Pierre, this is Emma. I know we were 
supposed to meet in the conference room at nine 
this morning to begin discussing the renovations 
to the lobby, but I'm calling to let you know I'm 
having a problem with transportation. I was at the 
train station when train service was suspended. 
Now I'm going to find a taxi but it may take a while 
before I get to the office. Why don't we go out to 
lunch today instead? I hope this will work for you, 
because I have some ideas for the project that I'd 
like to talk about. ","What was the speaker supposed to do this 
morning? 
(A) Interview a job applicant 
(B) Attend a meeting 
(C) Pick up a client 
(D) Lead a tour group ",Interview a job applicant,Attend a meeting,Pick up a client,Lead a tour group ,B
,,"What transportation problem does the speaker 
mention? 
(A) A road has been closed. 
(B) A bridge is under construction. 
(C) A train service is unavailable. 
(D) A flight has been delayed.",A road has been closed.,A bridge is under construction.,A train service is unavailable.,A flight has been delayed.,C
,,"What does the speaker suggest? 
(A) Inviting other colleagues 
(B) Posting a notice 
(C) Holding a phone conference 
(D) Having lunch together ",Inviting other colleagues,Posting a notice,Holding a phone conference,Having lunch together ,D
T3_18.mp3,"Thanks for inviting m e to your annual 
planning meeting. We're glad that you're 
considering us to meet the energy needs of your 
f actory. My company, Stillman Technology, is 
committed to providing renewable energy to businesses like yours. By choosing to install 
our solar panels, you can power all your facilities 
with affordable clean energy. And, hundreds of 
businesses have signed up. I'm sure you have a lot 
of questions. But first, I'd like to show a video of 
a speech our president gave when we received the 
Eco-lndustry award at a conference last year. ","What industry does the speaker work in? 
(A) Renewable energy 
(B) Computer technology 
(C) Publishing 
(D) Real estate",Renewable energy,Computer technology,Publishing,Real estate,A
,,"What does the speaker imply when he says, 
""hundreds of businesses have signed up""? 
(A) He is worried about meeting client demands. 
(B) He expects an industry to start changing. 
(C) The listeners should choose his company. 
(D) The listeners will receive a list of contacts. ",He is worried about meeting client demands.,He expects an industry to start changing.,The listeners should choose his company.,The listeners will receive a list of contacts. ,C
,,"What will the listeners see in the video? 
(A) A virtual tour 
(B) An award-acceptance speech 
(C) Product features 
(D) Installation instructions",A virtual tour,An award-acceptance speech,Product features,Installation instructions,B
AudioTrack 38.mp3,"""Thank you for coming along to the cultural Sydney talk. I'm going to start by telling you about the yellow plaque scheme, which has been running in Sydney for over 40 years and has been incredibly successful. When you are walking around the city, you'll see some buildings with a small round yellow plaque on them. If you take a closer look, you'll see the name and details of a famous person who lived in that very place. We have at present 130 plaques up in the city.

The scheme has been great for tourism, but it was really started to raise awareness of the rich history of Sydney, both locally and nationally. And we think we've managed to do this. We also wanted to make people aware of the impressive list of important people who have lived in this city, and we've certainly achieved that.

But that's not all. Although not part of our original aims, the scheme has also helped preserve some of the older and more important buildings in Sydney. Because people now know that these buildings are a link to our past. Some of the buildings are actually over 180 years old, which for Australia is ancient. We actually think that this is where the scheme has achieved the most success, in raising the profile of our rich history. Of course, it has helped tourism, but not only that, locals also walk around looking at the plaques. It has been really wonderful in highlighting our past. Some people are quite surprised to see who has lived here. Take Errol Flynn for example, he was married in Sydney.  

We are planning on putting more plaques up, and a common question is how can people nominate a figure to be put on a plaque. It's quite a simple process. Applications can be downloaded from our website. If you want to nominate someone for a plaque, you just need the person's name, where they lived, and you need three signatures to approve your application. Our panel then checks that all the data you've submitted is correct, and hopefully, within a year, a new plaque will be erected.  

But you can't nominate just anyone. A plaque can only be given to a person who is famous and has achieved something out of the ordinary, like an important politician or a world record-breaking sportsman, for example. We aim to have 50 new plaques up within the next three years, and we have plenty of funding to do so. Our funding comes from three sources: the local council, community donations, and the tourist board. Whereas in the past the tourist board put in the majority of funding, now, public donations account for 65% of all total funds. In fact, our funding is so healthy now that there are plans to expand the scheme.""","How long has the yellow plaque scheme been running in Sydney?
(A) For over 30 years
(B) For over 40 years
(C) For under 40 years
(D) For over 180 years",For over 30 years,For over 40 years,For under 40 years,For over 180 years,B
,,"What was the original aim of starting the scheme?
(A) To boost the local tourism industry
(B) To help preserve older buildings in the city
(C) To raise awareness of Sydney's rich history
(D) To acknowledge the contributions of the local council",To boost the local tourism industry,To help preserve older buildings in the city,To raise awareness of Sydney's rich history,To acknowledge the contributions of the local council,C
,,"How many signatures do you need to approve an application for a new plaque?
(A) 1 signature
(B) 2 signatures
(C) 3 signatures
(D) 4 signatures",1 signature,2 signatures,3 signatures,4 signatures,C
,,"What is the requirement for a person to be nominated for a plaque?
(A) They must be famous and have achieved something out of the ordinary.
(B) They must be either a politician or a sportsman.
(C) They must have been born and raised in Sydney.
(D) They must have made a financial contribution to the city.",They must be famous and have achieved something out of the ordinary.,They must be either a politician or a sportsman.,They must have been born and raised in Sydney.,They must have made a financial contribution to the city.,A
,,"Currently, which source accounts for the majority (65%) of the scheme's total funding?
(A) The local council
(B) The tourist board
(C) The Australian government
(D) Public/community donations",The local council,The tourist board,The Australian government,Public/community donations,D
